"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MIN","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MAX"
"12435.411324969","11489116160","11489116160","11489116160"
"12445.411418236","11489116160","11489116160","11489116160"
"12455.417842019","11489116160","11489116160","11489116160"
"12465.41253231","11489116160","11489116160","11489116160"
"12475.411356277","11489116160","11489116160","11489116160"
"12485.411429084","11489116160","11489116160","11489116160"
"12495.414772009","11489116160","11489116160","11489116160"
"12505.410964365","11489116160","11489116160","11489116160"
"12515.413021697","11489116160","11489116160","11489116160"
"12525.411388611","11489116160","11489116160","11489116160"
"12535.410867256","11489116160","11489116160","11489116160"
"12545.411731349","11489116160","11489116160","11489116160"
"12555.411525398","11489116160","11489116160","11489116160"
"12565.411458025","11489116160","11489116160","11489116160"
"12575.411011446","11489116160","11489116160","11489116160"
"12585.412027474","11489116160","11489116160","11489116160"
"12595.416759559","11489116160","11489116160","11489116160"
"12605.41321051","11489116160","11489116160","11489116160"
"12615.411675921","11489116160","11489116160","11489116160"
"12625.412473837","11489116160","11489116160","11489116160"
"12635.416724396","11489116160","11489116160","11489116160"
"12645.412299778","11489116160","11489116160","11489116160"
"12655.411460146","11489116160","11489116160","11489116160"
"12665.411726708","11489116160","11489116160","11489116160"
"12675.412662889","11489116160","11489116160","11489116160"
"12685.415454782","11489116160","11489116160","11489116160"
"12695.411563748","11489116160","11489116160","11489116160"
"12705.413091546","11489116160","11489116160","11489116160"
"12715.416708171","11489116160","11489116160","11489116160"
"12725.414656464","11489116160","11489116160","11489116160"
"12735.410855684","11489116160","11489116160","11489116160"
"12745.413684032","11489116160","11489116160","11489116160"
"12755.411805631","11489116160","11489116160","11489116160"
"12765.411412727","11489116160","11489116160","11489116160"
"12775.412176554","11489116160","11489116160","11489116160"
"12785.411161239","11489116160","11489116160","11489116160"
"12795.411888749","11489116160","11489116160","11489116160"
"12805.411561272","11489116160","11489116160","11489116160"
"12815.411217408","11489116160","11489116160","11489116160"
"12825.41200372","11489116160","11489116160","11489116160"
"12835.411754687","11489116160","11489116160","11489116160"
"12845.411609044","11489116160","11489116160","11489116160"
"12855.416045738","11489116160","11489116160","11489116160"
"12865.411490944","11489116160","11489116160","11489116160"
"12875.41143739","11489116160","11489116160","11489116160"
"12885.41626405","11489116160","11489116160","11489116160"
"12895.410908279","11489116160","11489116160","11489116160"
"12905.411355699","11489116160","11489116160","11489116160"
"12915.413852081","11489116160","11489116160","11489116160"
"12925.411887113","11489116160","11489116160","11489116160"
"12935.411543478","11489116160","11489116160","11489116160"
"12945.4115625","11489116160","11489116160","11489116160"
"12955.412200175","11489116160","11489116160","11489116160"
"12965.411435311","11489116160","11489116160","11489116160"
"12975.41250896","11489116160","11489116160","11489116160"
"12985.410914598","11489116160","11489116160","11489116160"
"12995.410957068","11489116160","11489116160","11489116160"
"13005.413022291","11489116160","11489116160","11489116160"
"13015.411809145","11489116160","11489116160","11489116160"
"13025.411447649","11489116160","11489116160","11489116160"
"13035.411588795","11489116160","11489116160","11489116160"
"13045.412180444","11489116160","11489116160","11489116160"
"13055.411791451","11489116160","11489116160","11489116160"
"13065.413841696","11489116160","11489116160","11489116160"
"13075.415812464","11489116160","11489116160","11489116160"
"13085.411040457","11489116160","11489116160","11489116160"
"13095.411397598","11489116160","11489116160","11489116160"
"13105.410853034","11489116160","11489116160","11489116160"
"13115.416479185","11489116160","11489116160","11489116160"
"13125.411215967","11489116160","11489116160","11489116160"
"13135.4142032","11489116160","11489116160","11489116160"
"13145.413608465","11489116160","11489116160","11489116160"
"13155.411138778","11489116160","11489116160","11489116160"
"13165.412081757","11489116160","11489116160","11489116160"
